date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 |  	1
2012-01-11 |-1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2016-02-29 | 1
2017-02-29 | 1
2017-03-31 | 1
2017-04-31 | 1
2017-08-31 | 1
2017-09-31 | 1
2017-00-31 | 1
2017-04-00 | 1
2011-01-04| 
 | 78
 | 	 
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2009-01-01 | 1
2009-01-02 | 1
2009-01-03 | 1
2009-01-05 | 1
2009-01-06 | 1
2022-03-28 | 1
2022-03-29 | 1
2022-03-30 | 1
